Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,N,5500,0.11456455170046298,NV,Close,Close,Y,4,4,0.0,9.614564551700463,0.0,0.0,9.385435448299537,0.0,N,0,0,NV,0,0.0,0,N,5700
600016.SH,38,60,-1.0,N,10200,0.07244601447449259,NV,Close,Close,Y,4,4,0.0,7.002446014474493,0.0,0.0,6.857553985525507,0.0,N,0,0,NV,0,0.0,0,N,40800
600019.SH,25,60,-1.0,N,4200,0.14866531903865166,NV,Close,Close,Y,4,4,0.0,7.808665319038652,0.0,0.0,7.511334680961348,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,N,4600,0.11167815598383934,NV,Close,Close,Y,4,4,0.0,6.56167815598384,0.0,0.0,6.338321844016161,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,N,1500,0.2144797560767077,NV,Close,Close,Y,4,4,0.0,8.454479756076708,0.0,0.0,8.025520243923292,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,N,3300,0.25217065071781,NV,Close,Close,Y,4,4,0.0,16.412170650717812,0.0,0.0,15.90782934928219,0.0,N,0,0,NV,0,0.0,0,N,6800
600036.SH,12,60,-1.0,N,4500,0.4152611869925495,NV,Close,Close,Y,4,4,0.0,26.26526118699255,0.0,0.0,25.434738813007453,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,N,3200,0.25036082648212205,NV,Close,Close,Y,4,4,0.0,11.980360826482123,0.0,0.0,11.479639173517878,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,N,3900,0.12517728661360825,NV,Close,Close,Y,4,4,0.0,4.945177286613609,0.0,0.0,4.694822713386392,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,N,1300,0.29471305559969274,NV,Close,Close,Y,4,4,0.0,34.244713055599696,0.0,0.0,33.65528694440031,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,N,900,0.14098270241890917,NV,Close,Close,Y,4,4,0.0,11.35098270241891,0.0,0.0,11.069017297581091,0.0,N,0,0,NV,0,0.0,0,N,1800
600340.SH,10,60,-1.0,N,500,0.5611224456195975,NV,Close,Close,Y,4,4,0.0,25.6311224456196,0.0,0.0,24.5088775543804,0.0,N,0,0,NV,0,0.0,0,N,1100
600518.SH,12,60,-1.0,N,1000,0.4125465019211132,NV,Close,Close,Y,4,4,0.0,22.942546501921115,0.0,0.0,22.117453498078888,0.0,N,0,0,NV,0,0.0,0,N,4200
600519.SH,3,60,-1.0,N,200,10.157613375620741,NV,Close,Close,Y,4,4,0.0,721.0876133756207,0.0,0.0,700.7723866243792,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,N,300,0.42394373014615966,NV,Close,Close,Y,4,4,0.0,24.04394373014616,0.0,0.0,23.19605626985384,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,N,1600,0.1106940060872837,NV,Close,Close,Y,4,4,0.0,6.560694006087284,0.0,0.0,6.339305993912716,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,N,3600,0.10983739744433657,NV,Close,Close,Y,4,4,0.0,9.329837397444336,0.0,0.0,9.110162602555665,0.0,N,0,0,NV,0,0.0,0,N,7400
600887.SH,10,60,-1.0,N,2600,0.5676942943165562,NV,Close,Close,Y,4,4,0.0,27.577694294316558,0.0,0.0,26.442305705683445,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,N,2900,0.05851005632632414,NV,Close,Close,Y,4,4,0.0,6.408510056326324,0.0,0.0,6.2914899436736755,0.0,N,0,0,NV,0,0.0,0,N,11600
600958.SH,20,60,-1.0,N,1300,0.20523561280913935,NV,Close,Close,Y,4,4,0.0,9.225235612809138,0.0,0.0,8.814764387190861,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,N,900,0.19882223644013897,NV,Close,Close,Y,4,4,0.0,13.478822236440138,0.0,0.0,13.081177763559861,0.0,N,0,0,NV,0,0.0,0,N,2100
601006.SH,23,60,-1.0,N,2500,0.1586687619766525,NV,Close,Close,Y,4,4,0.0,8.248668761976653,0.0,0.0,7.931331238023347,0.0,N,0,0,NV,0,0.0,0,N,100
601088.SH,12,60,-1.0,N,800,0.4153156159467501,NV,Close,Close,Y,4,4,0.0,20.09531561594675,0.0,0.0,19.26468438405325,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,N,5400,0.1870145516130058,NV,Close,Close,Y,4,4,0.0,14.417014551613006,0.0,0.0,14.042985448386995,0.0,N,0,0,NV,0,0.0,0,N,21800
601169.SH,40,60,-1.0,N,6400,0.06769913028550183,NV,Close,Close,Y,4,4,0.0,6.047699130285502,0.0,0.0,5.912300869714499,0.0,N,0,0,NV,0,0.0,0,N,19400
601186.SH,35,60,-1.0,N,2000,0.08475052118850107,NV,Close,Close,Y,4,4,0.0,8.564750521188502,0.0,0.0,8.395249478811499,0.0,N,0,0,NV,0,0.0,0,N,6300
601211.SH,18,60,-1.0,N,1600,0.23040501577408595,NV,Close,Close,Y,4,4,0.0,15.090405015774085,0.0,0.0,14.629594984225914,0.0,N,0,0,NV,0,0.0,0,N,1900
