Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,Y,5500,0.11672152774336135,NV,Close,Close,Y,4,4,0.0,9.686721527743362,0.0,0.0,9.453278472256638,0.0,N,0,0,NV,0,0.0,0,N,200
600016.SH,38,60,-1.0,Y,10200,0.07489800882649916,NV,Close,Close,Y,4,4,0.0,5.884898008826498,0.0,0.0,5.735101991173501,0.0,N,0,0,NV,0,0.0,0,N,48960
600019.SH,25,60,-1.0,Y,4200,0.15331699586822126,NV,Close,Close,Y,4,4,0.0,7.763316995868221,0.0,0.0,7.456683004131779,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,Y,4600,0.10905702215533927,NV,Close,Close,Y,4,4,0.0,6.619057022155339,0.0,0.0,6.400942977844661,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,Y,1500,0.21732217219453626,NV,Close,Close,Y,4,4,0.0,8.227322172194537,0.0,0.0,7.792677827805464,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,Y,3300,0.2570306433501609,NV,Close,Close,Y,4,4,0.0,16.77703064335016,0.0,0.0,16.26296935664984,0.0,N,0,0,NV,0,0.0,0,N,200
600036.SH,12,60,-1.0,Y,4500,0.4279811925756725,NV,Close,Close,Y,4,4,0.0,27.227981192575673,0.0,0.0,26.37201880742433,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,Y,3200,0.26681011542744565,NV,Close,Close,Y,4,4,0.0,11.556810115427444,0.0,0.0,11.023189884572554,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,Y,3900,0.12617680396343392,NV,Close,Close,Y,4,4,0.0,5.066176803963434,0.0,0.0,4.813823196036567,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,Y,1300,0.30224233603976325,NV,Close,Close,Y,4,4,0.0,34.94224233603976,0.0,0.0,34.33775766396024,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,Y,900,0.1430724750643956,NV,Close,Close,Y,4,4,0.0,11.093072475064394,0.0,0.0,10.806927524935604,0.0,N,0,0,NV,0,0.0,0,N,900
600340.SH,10,60,-1.0,Y,500,0.6139440832871169,NV,Close,Close,Y,4,4,0.0,27.923944083287115,0.0,0.0,26.696055916712883,0.0,N,0,0,NV,0,0.0,0,N,100
600518.SH,12,60,-1.0,Y,1000,0.4168458864990963,NV,Close,Close,Y,4,4,0.0,23.196845886499098,0.0,0.0,22.363154113500904,0.0,N,0,0,NV,0,0.0,0,N,2200
600519.SH,3,60,-1.0,Y,200,10.54652905977559,NV,Close,Close,Y,4,4,0.0,736.3065290597756,0.0,0.0,715.2134709402244,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,Y,300,0.4310631778454892,NV,Close,Close,Y,4,4,0.0,24.651063177845487,0.0,0.0,23.78893682215451,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,Y,1600,0.11582867424618488,NV,Close,Close,Y,4,4,0.0,6.525828674246185,0.0,0.0,6.294171325753815,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,Y,3600,0.11291574200072553,NV,Close,Close,Y,4,4,0.0,9.422915742000725,0.0,0.0,9.197084257999276,0.0,N,0,0,NV,0,0.0,0,N,3600
600887.SH,10,60,-1.0,Y,2600,0.5714386001638071,NV,Close,Close,Y,4,4,0.0,28.491438600163807,0.0,0.0,27.348561399836196,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,Y,2900,0.05941647559474855,NV,Close,Close,Y,4,4,0.0,6.279416475594748,0.0,0.0,6.160583524405252,0.0,N,0,0,NV,0,0.0,0,N,8700
600958.SH,20,60,-1.0,Y,1300,0.20524352766803194,NV,Close,Close,Y,4,4,0.0,9.005243527668032,0.0,0.0,8.59475647233197,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,Y,900,0.20220152355803664,NV,Close,Close,Y,4,4,0.0,13.412201523558037,0.0,0.0,13.007798476441964,0.0,N,0,0,NV,0,0.0,0,N,300
601006.SH,23,60,-1.0,Y,2500,0.16286441320603923,NV,Close,Close,Y,4,4,0.0,8.692864413206038,0.0,0.0,8.36713558679396,0.0,N,0,0,NV,0,0.0,0,N,2500
601088.SH,12,60,-1.0,Y,800,0.4198785935006334,NV,Close,Close,Y,4,4,0.0,18.669878593500634,0.0,0.0,17.830121406499366,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,Y,5400,0.1919863536880691,NV,Close,Close,Y,4,4,0.0,14.561986353688068,0.0,0.0,14.17801364631193,0.0,N,0,0,NV,0,0.0,0,N,11000
601169.SH,40,60,-1.0,Y,6400,0.06987570869140154,NV,Close,Close,Y,4,4,0.0,6.1398757086914015,0.0,0.0,6.000124291308599,0.0,N,0,0,NV,0,0.0,0,N,6600
601186.SH,35,60,-1.0,Y,2000,0.08728958828008042,NV,Close,Close,Y,4,4,0.0,8.43728958828008,0.0,0.0,8.262710411719919,0.0,N,0,0,NV,0,0.0,0,N,2300
601211.SH,18,60,-1.0,Y,1600,0.2329303940139264,NV,Close,Close,Y,4,4,0.0,14.752930394013926,0.0,0.0,14.287069605986073,0.0,N,0,0,NV,0,0.0,0,N,1900
