Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,Y,5500,0.11918164247703045,NV,Close,Close,Y,4,4,0.0,9.98918164247703,0.0,0.0,9.750818357522968,0.0,N,0,0,NV,0,0.0,0,N,200
600016.SH,38,60,-1.0,Y,10200,0.07664514669388625,NV,Close,Close,Y,4,4,0.0,6.016645146693887,0.0,0.0,5.863354853306114,0.0,N,0,0,NV,0,0.0,0,N,28560
600019.SH,25,60,-1.0,Y,4200,0.15731107319268317,NV,Close,Close,Y,4,4,0.0,8.057311073192684,0.0,0.0,7.742688926807317,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,Y,4600,0.1086736466121703,NV,Close,Close,Y,4,4,0.0,6.49867364661217,0.0,0.0,6.281326353387829,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,Y,1500,0.2160588877869433,NV,Close,Close,Y,4,4,0.0,7.206058887786943,0.0,0.0,6.773941112213057,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,Y,3300,0.25099143013822056,NV,Close,Close,Y,4,4,0.0,17.08099143013822,0.0,0.0,16.579008569861777,0.0,N,0,0,NV,0,0.0,0,N,200
600036.SH,12,60,-1.0,Y,4500,0.43514790452026086,NV,Close,Close,Y,4,4,0.0,27.81514790452026,0.0,0.0,26.94485209547974,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,Y,3200,0.2534303484792134,NV,Close,Close,Y,4,4,0.0,11.233430348479214,0.0,0.0,10.726569651520787,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,Y,3900,0.128037877031334,NV,Close,Close,Y,4,4,0.0,5.158037877031334,0.0,0.0,4.9019621229686665,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,Y,1300,0.29705059887167246,NV,Close,Close,Y,4,4,0.0,32.69705059887167,0.0,0.0,32.10294940112833,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,Y,900,0.1425702191783216,NV,Close,Close,Y,4,4,0.0,10.962570219178321,0.0,0.0,10.67742978082168,0.0,N,0,0,NV,0,0.0,0,N,900
600340.SH,10,60,-1.0,Y,500,0.5931029429359341,NV,Close,Close,Y,4,4,0.0,26.103102942935937,0.0,0.0,24.916897057064066,0.0,N,0,0,NV,0,0.0,0,N,100
600518.SH,12,60,-1.0,Y,1000,0.4189543939160155,NV,Close,Close,Y,4,4,0.0,22.718954393916015,0.0,0.0,21.881045606083987,0.0,N,0,0,NV,0,0.0,0,N,2200
600519.SH,3,60,-1.0,Y,200,10.48265192975408,NV,Close,Close,Y,4,4,0.0,751.6126519297541,0.0,0.0,730.6473480702459,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,Y,300,0.41455262020198147,NV,Close,Close,Y,4,4,0.0,23.93455262020198,0.0,0.0,23.10544737979802,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,Y,1600,0.11456943594625102,NV,Close,Close,Y,4,4,0.0,6.204569435946251,0.0,0.0,5.975430564053749,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,Y,3600,0.11290252153180186,NV,Close,Close,Y,4,4,0.0,9.502902521531803,0.0,0.0,9.277097478468198,0.0,N,0,0,NV,0,0.0,0,N,3600
600887.SH,10,60,-1.0,Y,2600,0.5588544625657963,NV,Close,Close,Y,4,4,0.0,28.108854462565798,0.0,0.0,26.991145537434203,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,Y,2900,0.0607483544239891,NV,Close,Close,Y,4,4,0.0,6.400748354423989,0.0,0.0,6.279251645576011,0.0,N,0,0,NV,0,0.0,0,N,2900
600958.SH,20,60,-1.0,Y,1300,0.1993328956759486,NV,Close,Close,Y,4,4,0.0,9.01933289567595,0.0,0.0,8.62066710432405,0.0,N,0,0,NV,0,0.0,0,N,2800
600999.SH,20,60,-1.0,Y,900,0.1997641397221617,NV,Close,Close,Y,4,4,0.0,13.45976413972216,0.0,0.0,13.060235860277839,0.0,N,0,0,NV,0,0.0,0,N,300
601006.SH,23,60,-1.0,Y,2500,0.1621461320036353,NV,Close,Close,Y,4,4,0.0,8.962146132003635,0.0,0.0,8.637853867996366,0.0,N,0,0,NV,0,0.0,0,N,2500
601088.SH,12,60,-1.0,Y,800,0.41890779015234714,NV,Close,Close,Y,4,4,0.0,17.748907790152344,0.0,0.0,16.911092209847652,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,Y,5400,0.19519085313482734,NV,Close,Close,Y,4,4,0.0,14.845190853134827,0.0,0.0,14.454809146865173,0.0,N,0,0,NV,0,0.0,0,N,200
601169.SH,40,60,-1.0,Y,6400,0.0708779705560395,NV,Close,Close,Y,4,4,0.0,5.870877970556039,0.0,0.0,5.72912202944396,0.0,N,0,0,NV,0,0.0,0,N,6600
