Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,Y,5500,0.11602174071831332,NV,Close,Close,Y,4,4,0.0,9.486021740718313,0.0,0.0,9.253978259281686,0.0,N,0,0,NV,0,0.0,0,N,200
600016.SH,38,60,-1.0,Y,10200,0.07398199807972257,NV,Close,Close,Y,4,4,0.0,5.783981998079723,0.0,0.0,5.636018001920277,0.0,N,0,0,NV,0,0.0,0,N,48960
600019.SH,25,60,-1.0,Y,4200,0.15127669967926569,NV,Close,Close,Y,4,4,0.0,7.351276699679266,0.0,0.0,7.048723300320734,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,Y,4600,0.10788356607910057,NV,Close,Close,Y,4,4,0.0,6.3778835660791,0.0,0.0,6.162116433920899,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,Y,1500,0.21402363663400711,NV,Close,Close,Y,4,4,0.0,7.874023636634007,0.0,0.0,7.445976363365993,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,Y,3300,0.25534770989913175,NV,Close,Close,Y,4,4,0.0,16.425347709899132,0.0,0.0,15.91465229010087,0.0,N,0,0,NV,0,0.0,0,N,200
600036.SH,12,60,-1.0,Y,4500,0.42111780378480407,NV,Close,Close,Y,4,4,0.0,26.261117803784803,0.0,0.0,25.418882196215197,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,Y,3200,0.25817501320222,NV,Close,Close,Y,4,4,0.0,10.83817501320222,0.0,0.0,10.32182498679778,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,Y,3900,0.12728738378482032,NV,Close,Close,Y,4,4,0.0,4.89728738378482,0.0,0.0,4.642712616215179,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,Y,1300,0.30079883320748274,NV,Close,Close,Y,4,4,0.0,34.02079883320748,0.0,0.0,33.41920116679252,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,Y,900,0.14225243545957617,NV,Close,Close,Y,4,4,0.0,10.822252435459577,0.0,0.0,10.537747564540423,0.0,N,0,0,NV,0,0.0,0,N,900
600340.SH,10,60,-1.0,Y,500,0.579417085368134,NV,Close,Close,Y,4,4,0.0,24.659417085368133,0.0,0.0,23.500582914631863,0.0,N,0,0,NV,0,0.0,0,N,100
600518.SH,12,60,-1.0,Y,1000,0.41469619646638045,NV,Close,Close,Y,4,4,0.0,22.84469619646638,0.0,0.0,22.01530380353362,0.0,N,0,0,NV,0,0.0,0,N,3200
600519.SH,3,60,-1.0,Y,200,10.630437956518541,NV,Close,Close,Y,4,4,0.0,724.7504379565186,0.0,0.0,703.4895620434814,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,Y,300,0.43204538780431484,NV,Close,Close,Y,4,4,0.0,24.852045387804317,0.0,0.0,23.987954612195686,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,Y,1600,0.11464233243226844,NV,Close,Close,Y,4,4,0.0,6.304642332432269,0.0,0.0,6.075357667567732,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,Y,3600,0.11226991839813402,NV,Close,Close,Y,4,4,0.0,9.302269918398133,0.0,0.0,9.077730081601866,0.0,N,0,0,NV,0,0.0,0,N,3600
600887.SH,10,60,-1.0,Y,2600,0.5738655644560156,NV,Close,Close,Y,4,4,0.0,28.043865564456013,0.0,0.0,26.896134435543985,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,Y,2900,0.059148407963972575,NV,Close,Close,Y,4,4,0.0,6.349148407963972,0.0,0.0,6.230851592036028,0.0,N,0,0,NV,0,0.0,0,N,11600
600958.SH,20,60,-1.0,Y,1300,0.20575091727001393,NV,Close,Close,Y,4,4,0.0,9.135750917270014,0.0,0.0,8.724249082729985,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,Y,900,0.2011430458500518,NV,Close,Close,Y,4,4,0.0,13.21114304585005,0.0,0.0,12.808856954149949,0.0,N,0,0,NV,0,0.0,0,N,300
601006.SH,23,60,-1.0,Y,2500,0.16180810896917716,NV,Close,Close,Y,4,4,0.0,8.391808108969178,0.0,0.0,8.068191891030823,0.0,N,0,0,NV,0,0.0,0,N,2500
601088.SH,12,60,-1.0,Y,800,0.4190303636917631,NV,Close,Close,Y,4,4,0.0,19.719030363691765,0.0,0.0,18.880969636308237,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,Y,5400,0.19036588142019314,NV,Close,Close,Y,4,4,0.0,14.280365881420193,0.0,0.0,13.899634118579806,0.0,N,0,0,NV,0,0.0,0,N,21800
601169.SH,40,60,-1.0,Y,6400,0.06856476018490465,NV,Close,Close,Y,4,4,0.0,5.928564760184905,0.0,0.0,5.791435239815096,0.0,N,0,0,NV,0,0.0,0,N,19400
601186.SH,35,60,-1.0,Y,2000,0.08703068375191998,NV,Close,Close,Y,4,4,0.0,8.31703068375192,0.0,0.0,8.142969316248081,0.0,N,0,0,NV,0,0.0,0,N,4300
601211.SH,18,60,-1.0,Y,1600,0.2312758890301181,NV,Close,Close,Y,4,4,0.0,14.331275889030117,0.0,0.0,13.868724110969882,0.0,N,0,0,NV,0,0.0,0,N,1900
601229.SH,25,60,-1.0,Y,300,0.13561744212011323,NV,Close,Close,Y,4,4,0.0,15.165617442120112,0.0,0.0,14.894382557879887,0.0,N,0,0,NV,0,0.0,0,N,500
601288.SH,45,60,-1.0,Y,17500,0.05889806478031148,NV,Close,Close,Y,4,4,0.0,3.4488980647803116,0.0,0.0,3.3311019352196887,0.0,N,0,0,NV,0,0.0,0,N,70100
601318.SH,8,60,-1.0,Y,4600,0.8199786467701978,NV,Close,Close,Y,4,4,0.0,57.75997864677019,0.0,0.0,56.1200213532298,0.0,N,0,0,NV,0,0.0,0,N,100
601328.SH,45,60,-1.0,Y,12100,0.05658610428293235,NV,Close,Close,Y,4,4,0.0,5.8165861042829325,0.0,0.0,5.703413895717067,0.0,N,0,0,NV,0,0.0,0,N,48500
601336.SH,8,60,-1.0,Y,300,0.8207201955551543,NV,Close,Close,Y,4,4,0.0,44.44072019555515,0.0,0.0,42.79927980444484,0.0,N,0,0,NV,0,0.0,0,N,200
601390.SH,35,60,-1.0,Y,0,0.0780086099619803,NV,Close,Close,N,4,4,0.0,7.54800860996198,0.0,0.0,7.39199139003802,0.0,N,0,0,NV,0,0.0,0,N,0
601398.SH,40,60,-1.0,Y,9700,0.07198576719417142,NV,Close,Close,Y,4,4,0.0,5.361985767194171,0.0,0.0,5.218014232805829,0.0,N,0,0,NV,0,0.0,0,N,39000
601601.SH,8,60,-1.0,Y,1300,0.8247192816512462,NV,Close,Close,Y,4,4,0.0,32.13471928165124,0.0,0.0,30.485280718348754,0.0,N,0,0,NV,0,0.0,0,N,2600
601628.SH,15,60,-1.0,Y,700,0.3015025471811333,NV,Close,Close,Y,4,4,0.0,22.88150254718113,0.0,0.0,22.278497452818865,0.0,N,0,0,NV,0,0.0,0,N,700
601668.SH,30,60,-1.0,Y,6600,0.10764703768564887,NV,Close,Close,Y,4,4,0.0,5.177647037685649,0.0,0.0,4.962352962314352,0.0,N,0,0,NV,0,0.0,0,N,18480
601669.SH,35,60,-1.0,Y,2000,0.08115105758762026,NV,Close,Close,Y,4,4,0.0,5.42115105758762,0.0,0.0,5.25884894241238,0.0,N,0,0,NV,0,0.0,0,N,8300
