Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,N,5500,0.11574508867817254,NV,Close,Close,Y,4,4,0.0,9.425745088678173,0.0,0.0,9.194254911321828,0.0,N,0,0,NV,0,0.0,0,N,5700
600016.SH,38,60,-1.0,N,10200,0.07326497177230647,NV,Close,Close,Y,4,4,0.0,6.873264971772306,0.0,0.0,6.726735028227694,0.0,N,0,0,NV,0,0.0,0,N,48960
600019.SH,25,60,-1.0,N,4200,0.15140321201189783,NV,Close,Close,Y,4,4,0.0,7.421403212011898,0.0,0.0,7.118596787988102,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,N,4600,0.10753568434863428,NV,Close,Close,Y,4,4,0.0,6.337535684348635,0.0,0.0,6.122464315651366,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,N,1500,0.21245949902216205,NV,Close,Close,Y,4,4,0.0,7.922459499022162,0.0,0.0,7.497540500977838,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,N,3300,0.2550012915966894,NV,Close,Close,Y,4,4,0.0,16.345001291596688,0.0,0.0,15.83499870840331,0.0,N,0,0,NV,0,0.0,0,N,200
600036.SH,12,60,-1.0,N,4500,0.41648817998104504,NV,Close,Close,Y,4,4,0.0,25.466488179981045,0.0,0.0,24.633511820018956,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,N,3200,0.264294031995361,NV,Close,Close,Y,4,4,0.0,11.09429403199536,0.0,0.0,10.56570596800464,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,N,3900,0.1271185232104749,NV,Close,Close,Y,4,4,0.0,4.937118523210475,0.0,0.0,4.682881476789524,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,N,1300,0.29853742594839966,NV,Close,Close,Y,4,4,0.0,33.128537425948394,0.0,0.0,32.5314625740516,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,N,900,0.14157915783179534,NV,Close,Close,Y,4,4,0.0,11.311579157831796,0.0,0.0,11.028420842168204,0.0,N,0,0,NV,0,0.0,0,N,900
600340.SH,10,60,-1.0,N,500,0.5704368861825383,NV,Close,Close,Y,4,4,0.0,23.590436886182538,0.0,0.0,22.44956311381746,0.0,N,0,0,NV,0,0.0,0,N,600
600518.SH,12,60,-1.0,N,1000,0.4148085808351449,NV,Close,Close,Y,4,4,0.0,22.964808580835147,0.0,0.0,22.135191419164855,0.0,N,0,0,NV,0,0.0,0,N,3200
600519.SH,3,60,-1.0,N,200,10.307597619407078,NV,Close,Close,Y,4,4,0.0,701.217597619407,0.0,0.0,680.6024023805929,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,N,300,0.4324939333055579,NV,Close,Close,Y,4,4,0.0,25.422493933305557,0.0,0.0,24.55750606669444,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,N,1600,0.11421286096584149,NV,Close,Close,Y,4,4,0.0,6.274212860965841,0.0,0.0,6.045787139034159,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,N,3600,0.11185559053100981,NV,Close,Close,Y,4,4,0.0,9.35185559053101,0.0,0.0,9.128144409468991,0.0,N,0,0,NV,0,0.0,0,N,3600
600887.SH,10,60,-1.0,N,2600,0.5640403976620316,NV,Close,Close,Y,4,4,0.0,26.854040397662033,0.0,0.0,25.725959602337966,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,N,2900,0.0590787802881939,NV,Close,Close,Y,4,4,0.0,6.359078780288193,0.0,0.0,6.240921219711806,0.0,N,0,0,NV,0,0.0,0,N,11600
